	WordPiece	surprisal	window
396	they	12.02132113286733	1SL/0R
397	that	16.65275887961145	1SL/0R
398	do	16.79080487316336	1SL/0R
399	his	21.705788597213207	1SL/0R
400	command	21.2187696732619	1SL/0R
401	##ments	25.458834951491145	1SL/0R
402	that	17.668752816278865	1SL/0R
403	they	14.581618993750455	1SL/0R
404	may	8.08568102476036	1SL/0R
405	have	13.124498948823696	1SL/0R
406	right	21.92736279289223	1SL/0R
407	to	16.252800057479472	1SL/0R
408	the	18.456734604716875	1SL/0R
409	tree	15.30069835617472	1SL/0R
410	of	18.259792566282435	1SL/0R
411	life	12.160578686020873	1SL/0R
412	and	14.966184836798416	1SL/0R
413	may	12.42014305654207	1SL/0R
414	enter	14.969499891923075	1SL/0R
415	in	17.45109603449995	1SL/0R
416	through	21.15369987802222	1SL/0R
417	the	16.17823633170434	1SL/0R
418	gates	14.452711464884331	1SL/0R
419	into	22.132660923998476	1SL/0R
420	the	11.464857780253864	1SL/0R
421	city	7.831192171675764	1SL/0R
422	.	0.08362163731369213	1SL/0R
423	For	14.545257549048856	1SL/0R
424	without	18.821742888883655	1SL/0R
425	are	16.07298173589201	1SL/0R
426	dogs	25.08429865662515	1SL/0R
427	and	11.602114024141358	1SL/0R
428	so	12.050028615437947	1SL/0R
429	##rcerer	21.790437015864363	1SL/0R
430	##s	8.682259908055308	1SL/0R
431	and	14.590572029391277	1SL/0R
432	whore	16.334324698454925	1SL/0R
433	##mon	24.08344969875387	1SL/0R
434	##gers	13.846039988311345	1SL/0R
435	and	15.503935582995373	1SL/0R
436	murderer	13.010712053813823	1SL/0R
437	##s	7.3196746042845575	1SL/0R
438	and	14.92697100906576	1SL/0R
439	idol	18.161409940475426	1SL/0R
440	##ater	17.57176149929363	1SL/0R
441	##s	4.936383892610727	1SL/0R
442	and	15.081068539815854	1SL/0R
443	who	12.923494585982573	1SL/0R
444	##so	18.150599289883196	1SL/0R
445	##ever	11.414364172368279	1SL/0R
446	love	19.986439806053543	1SL/0R
447	##th	19.54360196536494	1SL/0R
448	and	13.312308869163958	1SL/0R
449	make	13.859649971490546	1SL/0R
450	##th	17.991619253350628	1SL/0R
451	a	18.85365289680415	1SL/0R
452	lie	10.981965241825677	1SL/0R
453	.	0.24339216869679633	1SL/0R
454	I	9.638390954831912	1SL/0R
455	Jesus	21.82782904909091	1SL/0R
456	have	17.04573605208643	1SL/0R
457	sent	15.113555352249215	1SL/0R
458	mine	15.971827332406486	1SL/0R
459	angel	20.39144623902676	1SL/0R
460	to	15.30050866771832	1SL/0R
461	testify	18.01006202569087	1SL/0R
462	unto	19.775628188396247	1SL/0R
463	you	5.12669238876125	1SL/0R
464	these	22.11798793262546	1SL/0R
465	things	10.843054380370457	1SL/0R
466	in	18.121294670845224	1SL/0R
467	the	11.841631925058891	1SL/0R
468	churches	11.145801409491838	1SL/0R
469	I	19.783719206971274	1SL/0R
470	am	11.360336366716432	1SL/0R
471	the	16.19760324885988	1SL/0R
472	root	17.938554805031078	1SL/0R
473	and	13.476313384339546	1SL/0R
474	the	9.696356217470232	1SL/0R
475	offspring	14.228924065964538	1SL/0R
476	of	16.513589055295732	1SL/0R
477	David	21.647363418909915	1SL/0R
478	and	13.583187528223204	1SL/0R
479	the	10.112542761621334	1SL/0R
480	bright	15.5936257725637	1SL/0R
481	and	12.927001909684599	1SL/0R
482	morning	16.11905991897389	1SL/0R
483	star	23.80705256524757	1SL/0R
484	.	0.17419668244512937	1SL/0R
485	And	13.874351945161749	1SL/0R
486	the	14.913792490162386	1SL/0R
487	Spirit	18.972311964743575	1SL/0R
488	and	12.949030097490015	1SL/0R
489	the	4.578739121148636	1SL/0R
490	bride	17.17530117654266	1SL/0R
491	say	20.176605741086913	1SL/0R
492	Come	21.719131126780134	1SL/0R
493	And	17.351709571866945	1SL/0R
494	let	12.780632778234223	1SL/0R
495	him	8.038976689617797	1SL/0R
496	that	13.035966696825618	1SL/0R
497	hear	14.349126072826197	1SL/0R
498	##eth	13.97043826941456	1SL/0R
499	say	15.931476235230406	1SL/0R
500	Come	10.172627346675283	1SL/0R
501	And	15.830322521934058	1SL/0R
502	let	10.332523286610249	1SL/0R
503	him	2.1784043771535107	1SL/0R
504	that	11.253184641727334	1SL/0R
505	is	11.607205690829517	1SL/0R
506	at	15.870146781625817	1SL/0R
507	##hir	15.42179985861168	1SL/0R
508	##st	8.138810366691935	1SL/0R
509	come	16.097372335732196	1SL/0R
510	And	14.492734634262867	1SL/0R
511	who	13.59243373515069	1SL/0R
512	##so	19.569896265333767	1SL/0R
513	##ever	9.152453414298964	1SL/0R
514	will	8.869606815140928	1SL/0R
515	let	11.21521151542925	1SL/0R
516	him	8.341365849218798	1SL/0R
517	take	12.64887406739052	1SL/0R
518	the	15.373960598000984	1SL/0R
519	water	7.916185534054538	1SL/0R
520	of	16.445903732169796	1SL/0R
521	life	12.876085427362227	1SL/0R
522	freely	22.924966662713377	1SL/0R
523	.	0.7916535487989234	1SL/0R
524	For	14.545257549048856	1SL/0R
525	I	14.894951203830981	1SL/0R
526	testify	26.097254126343326	1SL/0R
527	unto	18.947161673495238	1SL/0R
528	every	12.748736768641566	1SL/0R
529	man	7.652817149030247	1SL/0R
530	that	17.45195845443468	1SL/0R
531	hear	19.004622724647735	1SL/0R
532	##eth	16.11677789925095	1SL/0R
533	the	17.633650702389005	1SL/0R
534	words	7.196394450334819	1SL/0R
535	of	19.279918603285005	1SL/0R
536	the	10.418206834591125	1SL/0R
537	prophecy	13.836272020773894	1SL/0R
538	of	21.743850064079936	1SL/0R
539	this	11.482335777455301	1SL/0R
540	book	17.758918479002034	1SL/0R
541	If	26.14589141102831	1SL/0R
542	any	14.208721233179288	1SL/0R
543	man	16.707017613618408	1SL/0R
544	shall	9.75064374686945	1SL/0R
545	add	15.259603753709655	1SL/0R
546	unto	16.533887806534906	1SL/0R
547	these	10.927066165471379	1SL/0R
548	things	18.329670077912862	1SL/0R
549	God	19.422998486968932	1SL/0R
550	shall	16.1420233696801	1SL/0R
551	add	9.859695535798638	1SL/0R
552	unto	20.134449174276195	1SL/0R
553	him	5.826178475777506	1SL/0R
554	the	19.782248444206814	1SL/0R
555	plague	12.611951041445451	1SL/0R
556	##s	17.813151726274192	1SL/0R
557	that	18.25784293353083	1SL/0R
558	are	6.039040300272642	1SL/0R
559	written	18.894598017119602	1SL/0R
560	in	17.977249536635306	1SL/0R
561	this	15.23117812338088	1SL/0R
562	book	1.0523322096483811	1SL/0R
563	.	0.32098183426787047	1SL/0R
564	And	13.874351945161749	1SL/0R
565	if	13.635713695059636	1SL/0R
566	any	19.886184721446153	1SL/0R
567	man	17.835529579786073	1SL/0R
568	shall	19.877680840264258	1SL/0R
569	take	14.539917120638409	1SL/0R
570	away	15.280205221658667	1SL/0R
571	from	16.110174302264305	1SL/0R
572	the	12.00141198036742	1SL/0R
573	words	11.60983065011082	1SL/0R
574	of	15.128343913112648	1SL/0R
575	the	9.37550091713381	1SL/0R
576	book	10.32971773648075	1SL/0R
577	of	16.15269036602944	1SL/0R
578	this	9.591165860925166	1SL/0R
579	prophecy	19.181720537646587	1SL/0R
580	God	17.20246749550282	1SL/0R
581	shall	12.527241494372245	1SL/0R
582	take	11.120563422894707	1SL/0R
583	away	12.33122373652903	1SL/0R
584	his	15.691580555835346	1SL/0R
585	part	16.05549185166944	1SL/0R
586	out	20.49813002253018	1SL/0R
587	of	18.008977853771192	1SL/0R
588	the	16.488123953722013	1SL/0R
589	book	7.184619342910479	1SL/0R
590	of	19.03258049027894	1SL/0R
591	life	10.22430864852392	1SL/0R
592	and	15.3755941806956	1SL/0R
593	out	12.688203466790918	1SL/0R
594	of	16.852448176499365	1SL/0R
595	the	8.862236149274983	1SL/0R
596	holy	10.726917553186684	1SL/0R
597	city	14.157809948824912	1SL/0R
598	and	14.83530294817181	1SL/0R
599	from	10.394521499263536	1SL/0R
600	the	7.481061158669014	1SL/0R
601	things	12.499314671367307	1SL/0R
602	which	19.27775237875665	1SL/0R
603	are	5.673410047522911	1SL/0R
604	written	16.089353335644784	1SL/0R
605	in	18.500543602622592	1SL/0R
606	this	14.848065718454587	1SL/0R
607	book	4.790686012125143	1SL/0R
608	.	0.13552732675082863	1SL/0R
609	He	11.745736314498608	1SL/0R
610	which	18.81648788581414	1SL/0R
611	test	22.187358300531056	1SL/0R
612	##if	21.787677286425673	1SL/0R
613	##iet	22.737547672201437	1SL/0R
614	##h	9.010082981389045	1SL/0R
615	these	21.060591615552827	1SL/0R
616	things	15.875135934076491	1SL/0R
617	sa	20.0536543717523	1SL/0R
618	##ith	19.927078264845555	1SL/0R
619	Surely	23.382687802560902	1SL/0R
620	I	17.132619821344676	1SL/0R
621	come	18.42229758161388	1SL/0R
622	quickly	22.55596015386235	1SL/0R
623	Am	23.85828651703378	1SL/0R
624	##en	11.989237839293848	1SL/0R
625	Even	25.996387730890426	1SL/0R
626	so	16.744533238777514	1SL/0R
627	come	19.14985294511713	1SL/0R
628	Lord	15.920406982427386	1SL/0R
629	Jesus	16.02428241542178	1SL/0R
630	.	0.36783380155845874	1SL/0R
631	The	10.798905696946512	1SL/0R
632	grace	20.049380298886827	1SL/0R
633	of	14.715974722569902	1SL/0R
634	our	11.402300899782997	1SL/0R
635	Lord	2.534236449890949	1SL/0R
